Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),Zero,Channel,Distance (m),Sensor GPS Coords,Tag GPS Coords
457012,105,2021-06-29 18:55:15.601,A69-1602,65478,73.5,41.5,0,#93,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,106,2021-06-29 18:55:23.780,A69-1602,65478,73.5,37.5,0,#A0,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,107,2021-06-29 18:55:31.959,A69-1602,65478,61.0,30.5,0,#99,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,108,2021-06-29 18:55:40.137,A69-1602,65478,79.0,37.5,0,#9E,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,109,2021-06-29 18:55:48.314,A69-1602,65478,72.0,39.0,0,#9A,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,111,2021-06-29 18:55:56.491,A69-1602,65478,75.0,38.0,0,#9A,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,112,2021-06-29 18:56:04.668,A69-1602,65478,80.0,39.5,0,#9D,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,113,2021-06-29 18:56:12.846,A69-1602,65478,68.5,38.0,0,#A0,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,114,2021-06-29 18:56:21.025,A69-1602,65478,69.5,39.5,0,#9D,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,115,2021-06-29 18:56:29.205,A69-1602,65478,74.5,42.5,0,#9C,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,116,2021-06-29 18:56:37.386,A69-1602,65478,76.5,41.0,0,#A2,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,117,2021-06-29 18:56:45.565,A69-1602,65478,77.0,40.5,0,#A1,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,119,2021-06-29 18:56:53.746,A69-1602,65478,76.0,39.5,0,#AA,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,120,2021-06-29 18:57:01.927,A69-1602,65478,71.5,42.0,0,#92,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,121,2021-06-29 18:57:10.107,A69-1602,65478,72.5,39.0,0,#90,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,122,2021-06-29 18:57:18.285,A69-1602,65478,75.0,37.5,0,#A1,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,123,2021-06-29 18:57:26.466,A69-1602,65478,76.5,38.0,0,#A4,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,124,2021-06-29 18:57:34.645,A69-1602,65478,72.5,37.5,0,#A3,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,125,2021-06-29 18:57:42.824,A69-1602,65478,76.0,37.5,0,#A1,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

